sku;name;images;video;stock_a;stock_a_days;stock_b;stock_b_days;stock_c;stock_c_days;pvd_old;pvd;pvd_dif;pvr_old;pvr;pvr_dif;category
S8107301;Smartphone Samsung A55 6,6\" 8 GB RAM 128 GB Navy Blue;https://cdnbigbuy.com/images/8806095467146_R00.jpg;-;0;1;0;5;25;1;-;263.71;0.00%;-;280.54;0.00%;
S9906370;Smartphone Samsung SM-A236BZKUEEB 6,6\" Octa Core 4 GB RAM 64 GB Black;https://cdnbigbuy.com/images/8806094897029_I00.jpg;-;1;1;0;5;43;1;-;162.90;0.00%;-;175.16;0.00%;
S8100491;Smartphone Apple iPhone 11 White 128 GB 6,1\" Hexa Core;https://cdnbigbuy.com/images/0194252099438_S8100491_P11.jpg;-;0;1;0;5;310;1;-;348.13;0.00%;-;366.45;0.00%;
S0453558;Smartphone Motorola PAYM0003SE 6,55\" 256 GB 12 GB RAM Blue Grey;https://cdnbigbuy.com/images/0840023249471_I01.jpg;-;0;1;0;5;488;1;-;195.90;0.00%;-;208.40;0.00%;
S8107133;Smartphone Motorola Moto G24 6,56\" 4 GB RAM 128 GB Green;https://cdnbigbuy.com/images/8033779073816_S8107133_P00.jpg;-;0;1;0;5;5;1;-;84.77;0.00%;-;92.14;0.00%;
S8102023;Smartphone Apple iPhone 13 Green 6,1\" 128 GB;https://cdnbigbuy.com/images/0194253129011_S8102023_P01.jpg;-;0;1;0;5;0;1;-;504.74;0.00%;-;542.73;0.00%;
S9911829;Smartphone Samsung Galaxy A55 Enterprise Edition 6,6\" Octa Core 8 GB RAM 128 GB Black;https://cdnbigbuy.com/images/880603200.jpg;-;0;1;0;5;39;1;-;291.13;0.00%;-;313.04;0.00%;
S9906479;Smartphone Samsung Galaxy S24 Ultra Octa Core 12 GB RAM 512 GB Grey;https://cdnbigbuy.com/images/8806095414478_S9906479_P00.jpg;-;0;1;0;5;2;1;-;1,013.00;0.00%;-;1,089.25;0.00%;
S0455063;Smartphone Xiaomi MediaTek Helio G85 4 GB RAM 128 GB 128 GB SSD Black Green;https://cdnbigbuy.com/images/6941812754153_S0455063_P00.jpg;-;0;1;0;5;132;1;-;93.22;0.00%;-;101.33;0.00%;
S9909430;Smartphone Xiaomi Note 12S 6,4\" Octa Core 6 GB RAM 128 GB Black;https://cdnbigbuy.com/images/6941812728673_S9909430_P00.jpg;-;0;1;0;5;98;1;-;133.75;0.00%;-;145.38;0.00%;
