Weight;AD(Andorra);AE(United Arab Emirates);AF(Afghanistan);AG(Antigua and Barbuda);AI(Anguilla);AL(Albania);AM(Armenia);AO(Angola);AR(Argentina);AS(American Samoa);AT(Austria);AU(Australia);AW(Aruba);AZ(Azerbaijan);BA(Bosnia and Herzegovina);BB(Barbados);BD(Bangladesh);BE(Belgium);BF(Burkina Faso);BG(Bulgaria);BH(Bahrain);BI(Burundi);BJ(Benin);BL(Saint Barthelemy);BM(Bermuda);BN(Brunei);BO(Bolivia);BR(Brazil);BS(Bahamas);BT(Bhutan);BW(Botswana);BY(Belarus);BZ(Belize);CA(Canada);CD(Congo, Dem. Republic);CF(Central African Republic);CG(Congo, Republic);CH(Switzerland);CI(Ivory Coast);CK(Cook Islands);CL(Chile);CM(Cameroon);CN(China);CO(Colombia);CR(Costa Rica);CU(Cuba);CV(Cape Verde);CY(Cyprus);CZ(Czech Republic);DE(Germany);DJ(Djibouti);DK(Denmark);DM(Dominica);DO(Dominican Republic);DZ(Algeria);EC(Ecuador);EE(Estonia);EG(Egypt);ER(Eritrea);ES(Spain);ET(Ethiopia);FI(Finland);FJ(Fiji);FM(Micronesia);FO(Faroe Islands);FR(France);GA(Gabon);GB(United Kingdom);GD(Grenada);GE(Georgia);GF(French Guiana);GG(Guernsey);GH(Ghana);GI(Gibraltar);GL(Greenland);GM(Gambia);GN(Guinea);GP(Guadeloupe);GQ(Equatorial Guinea);GR(Greece);GT(Guatemala);GU(Guam);GW(Guinea-Bissau);GY(Guyana);HK(HongKong);HN(Honduras);HR(Croatia);HT(Haiti);HU(Hungary);ID(Indonesia);IE(Ireland);IL(Israel);IN(India);IQ(Iraq);IR(Iran);IS(Iceland);IT(Italy);JE(Jersey);JM(Jamaica);JO(Jordan);JP(Japan);KE(Kenya);KG(Kyrgyzstan);KH(Cambodia);KI(Kiribati);KM(Comoros);KR(South Korea);KW(Kuwait);KY(Cayman Islands);KZ(Kazakhstan);LA(Laos);LB(Lebanon);LC(Saint Lucia);LI(Liechtenstein);LK(Sri Lanka);LR(Liberia);LS(Lesotho);LT(Lithuania);LU(Luxemburg);LV(Latvia);LY(Libya);MA(Morocco);MC(Monaco);MD(Moldova);ME(Montenegro);MF(Saint Martin);MG(Madagascar);MH(Marshall Islands);MK(Macedonia);ML(Mali);MM(Burma (Myanmar));MN(Mongolia);MO(Macau);MP(Northern Mariana Islands);MQ(Martinique);MR(Mauritania);MS(Montserrat);MT(Malta);MU(Mauritius);MV(Maldives);MW(Malawi);MX(Mexico);MY(Malaysia);MZ(Mozambique);NA(Namibia);NC(New Caledonia);NE(Niger);NG(Nigeria);NI(Nicaragua);NL(Netherlands);NO(Norway);NP(Nepal);NR(Nauru);NU(Niue);NZ(New Zealand);OM(Oman);PA(Panama);PE(Peru);PF(French Polynesia);PG(Papua New Guinea);PH(Philippines);PK(Pakistan);PL(Poland);PR(Puerto Rico);PS(Palestinian Territories);PT(Portugal);PW(Palau);PY(Paraguay);QA(Qatar);RE(Reunion Island);RO(Romania);RS(Serbia);RU(Russian Federation);RW(Rwanda);SA(Saudi Arabia);SB(Solomon Islands);SC(Seychelles);SD(Sudan);SE(Sweden);SG(Singapore);SI(Slovenia);SK(Slovakia);SL(Sierra Leone);SM(San Marino);SN(Senegal);SO(Somalia);SR(Suriname);ST(São Tomé and Príncipe);SV(El Salvador);SY(Syria);SZ(Swaziland);TC(Turks and Caicos Islands);TD(Chad);TG(Togo);TH(Thailand);TJ(Tajikistan);TL(East Timor);TM(Turkmenistan);TN(Tunisia);TO(Tonga);TR(Turkey);TT(Trinidad and Tobago);TV(Tuvalu);TW(Taiwan);TZ(Tanzania);UA(Ukraine);UG(Uganda);US(United States);UY(Uruguay);UZ(Uzbekistan);VC(Saint Vincent and the Grenadines);VE(Venezuela);VG(Virgin Islands (British));VI(Virgin Islands (U.S.));VN(Vietnam);VU(Vanuatu);WF(Wallis and Futuna);WS(Samoa);YE(Yemen);YT(Mayotte);ZA(South Africa);ZM(Zambia);ZW(Zimbabwe)
11;12.41;99.13;126.89;126.54;126.54;19.72;19.72;132.91;119.81;126.54;12.2;126.54;126.54;19.72;19.72;126.54;126.54;11.8;132.91;19.72;126.54;132.91;132.91;126.54;126.54;126.54;119.81;119.81;126.54;126.54;132.91;19.72;119.81;83.6;132.91;126.89;132.91;12.9;132.91;138.81;119.81;132.91;125.1;119.81;119.81;132.91;132.91;18.59;12.9;10.9;132.91;12.05;126.54;119.81;99.13;119.81;17.9;99.13;132.91;5.35;132.91;18.59;126.54;126.54;19.72;10.75;132.91;16.69;126.54;19.72;146.42;58.99;132.91;11.52;83.6;126.89;126.89;126.54;119.81;19.8;119.81;126.54;132.91;126.54;119.81;119.81;17.2;119.81;14.4;126.54;14.94;99.13;125.1;126.89;132.91;18.59;13.5;16.3;126.54;99.13;125.1;132.91;132.91;126.54;126.54;146.42;125.1;99.13;126.54;109;126.54;99.13;126.54;12.9;125.1;132.91;132.91;14.1;11.3;15.8;99.13;19.72;10.75;19.72;19.72;126.54;132.91;126.54;19.72;132.91;138.81;126.54;125.1;126.54;126.54;132.91;126.54;18.59;132.91;126.54;146.42;83.6;126.54;132.91;132.91;126.54;132.91;132.91;119.81;12.2;18.59;126.54;126.54;126.54;126.54;99.13;119.81;119.81;146.42;126.54;126.54;126.89;11.1;83.6;119.81;8.69;126.54;119.81;126.54;132.91;17.9;17.9;109;132.91;99.13;126.54;132.91;132.91;19.3;119.81;14.9;15.9;132.91;19.72;132.91;132.91;138.81;132.91;119.81;99.13;132.91;138.81;126.89;132.91;119.81;132.91;126.54;146.42;99.13;126.54;19.72;126.54;126.54;119.81;132.91;19.72;132.91;69.3;119.81;109;126.54;119.81;138.81;126.54;126.54;126.54;146.42;126.54;99.13;132.91;126.89;132.91;132.91
12;12.41;103.56;131.54;135.11;135.11;19.72;19.72;141.93;124;135.11;12.2;131.54;135.11;19.72;19.72;135.11;135.11;11.8;141.93;19.72;131.54;141.93;141.93;135.11;135.11;135.11;124;124;135.11;135.11;141.93;19.72;124;88;141.93;131.54;141.93;12.9;141.93;138.81;124;141.93;131.54;124;124;138.81;141.93;18.59;12.9;10.9;141.93;12.05;135.11;124;103.56;124;17.9;103.56;141.93;5.35;141.93;18.59;135.11;135.11;19.72;10.75;141.93;16.69;135.11;19.72;151.02;60.05;141.93;11.52;88;131.54;131.54;135.11;124;19.8;124;135.11;141.93;135.11;124;124;17.2;124;14.4;131.54;14.94;103.56;131.54;131.54;141.93;18.59;13.5;16.3;135.11;103.56;131.54;141.93;141.93;135.11;135.11;151.02;131.54;103.56;135.11;115.2;135.11;103.56;135.11;12.9;132.4;141.93;141.93;14.1;11.3;15.8;103.56;19.72;10.75;19.72;19.72;135.11;141.93;135.11;19.72;141.93;138.81;131.54;132.4;135.11;135.11;141.93;135.11;18.59;141.93;135.11;151.02;88;131.54;141.93;141.93;135.11;141.93;141.93;124;12.2;18.59;135.11;135.11;135.11;131.54;103.56;124;124;151.02;135.11;131.54;131.54;11.1;88;124;8.69;135.11;124;131.54;141.93;17.9;17.9;115.2;141.93;103.56;135.11;141.93;141.93;19.3;124;14.9;15.9;141.93;19.72;141.93;141.93;138.81;141.93;124;103.56;141.93;138.81;131.54;141.93;124;138.81;135.11;151.02;103.56;135.11;19.72;135.11;135.11;124;141.93;19.72;141.93;72.4;124;115.2;135.11;124;138.81;135.11;135.11;135.11;151.02;135.11;103.56;141.93;131.54;141.93;141.93
13;12.41;108;136.17;138.81;138.81;19.72;19.72;150.94;128.16;143.69;12.2;136.17;138.81;19.72;19.72;138.81;138.81;11.8;150.94;19.72;136.17;150.94;150.94;143.69;138.81;138.81;128.16;128.16;138.81;143.69;150.94;19.72;128.16;92.4;150.94;136.17;150.94;12.9;150.94;138.81;128.16;150.94;136.17;128.16;128.16;138.81;150.94;18.59;12.9;10.9;150.94;12.05;138.81;128.16;108;128.16;17.9;108;150.94;5.35;150.94;18.59;143.69;143.69;19.72;10.75;150.94;16.69;138.81;19.72;155.07;61.1;150.94;11.52;92.4;136.17;136.17;138.81;128.16;19.8;128.16;138.81;150.94;143.69;128.16;128.16;17.2;128.16;14.4;136.17;14.94;108;136.17;136.17;150.94;18.59;13.5;16.3;138.81;108;136.17;150.94;150.94;143.69;143.69;155.61;136.17;108;138.81;121.4;143.69;108;143.69;12.9;138.81;150.94;150.94;14.1;11.3;15.8;108;19.72;10.75;19.72;19.72;143.69;150.94;143.69;19.72;150.94;138.81;136.17;139.7;143.69;138.81;150.94;138.81;18.59;150.94;143.69;155.07;92.4;136.17;150.94;150.94;138.81;150.94;150.94;128.16;12.2;18.59;143.69;138.81;143.69;136.17;108;128.16;128.16;155.07;143.69;136.17;136.17;11.1;92.4;128.16;8.69;143.69;128.16;136.17;150.94;17.9;17.9;121.4;150.94;108;138.81;150.94;150.94;19.3;128.16;14.9;15.9;150.94;19.72;150.94;150.94;138.81;150.94;128.16;108;150.94;138.81;136.17;150.94;128.16;138.81;143.69;155.61;108;143.69;19.72;138.81;143.69;128.16;150.94;19.72;150.94;75.5;128.16;121.4;143.69;128.16;138.81;138.81;138.81;143.69;155.07;143.69;108;150.94;136.17;150.94;150.94
14;12.41;112.43;140.81;138.81;138.81;19.72;19.72;155.07;132.05;152.26;12.2;140.81;138.81;19.72;19.72;138.81;138.81;11.8;155.07;19.72;140.81;155.07;155.07;152.26;138.81;138.81;132.33;132.05;138.81;152.26;155.07;19.72;132.33;96.8;155.07;140.81;155.07;12.9;155.07;138.81;132.05;155.07;138.81;132.33;132.33;138.81;155.07;18.59;12.9;10.9;159.96;12.05;138.81;132.33;112.43;132.33;17.9;112.43;155.07;5.83;155.07;18.59;152.26;152.26;19.72;10.75;155.07;16.69;138.81;19.72;155.07;62.16;155.07;11.52;96.8;140.81;140.81;138.81;132.33;19.8;132.33;138.81;155.07;152.26;132.33;132.33;17.2;132.33;14.4;138.81;14.94;112.43;138.81;140.81;155.07;18.59;13.5;16.3;138.81;112.43;138.81;155.07;155.07;152.26;152.26;160.23;138.81;112.43;138.81;127.6;152.26;112.43;152.26;12.9;138.81;155.07;155.07;14.1;11.3;15.8;112.43;19.72;10.75;19.72;19.72;152.26;155.07;152.26;19.72;155.07;138.81;140.81;147;152.26;138.81;155.07;138.81;18.59;155.07;152.26;155.07;96.8;138.81;155.07;155.07;138.81;155.07;155.07;132.33;12.2;18.59;152.26;138.81;152.26;140.81;112.43;132.33;132.33;155.07;152.26;138.81;140.81;11.1;96.8;132.33;9.4;152.26;132.33;140.81;155.07;17.9;17.9;127.6;155.07;112.43;138.81;155.07;155.07;19.3;132.33;14.9;15.9;155.07;19.72;155.07;159.96;138.81;155.07;132.33;112.43;155.07;138.81;140.81;155.07;132.33;138.81;152.26;160.23;112.43;152.26;19.72;138.81;152.26;132.33;155.07;19.72;159.96;78.6;132.33;127.6;152.26;132.33;138.81;138.81;138.81;152.26;155.07;152.26;112.43;155.07;140.81;155.07;155.07
15;12.75;117.06;145.42;162.24;162.24;22.04;22.04;164.82;136.53;162.24;13;145.42;162.24;22.04;22.04;162.24;162.24;12.75;164.82;22.04;145.42;164.82;164.82;162.24;162.24;162.24;136.53;136.53;162.24;162.24;164.82;22.04;136.53;101.2;164.82;145.42;164.82;15.5;164.82;164.82;136.53;164.82;145.42;136.53;136.53;170.44;164.82;20.73;13.75;11.85;164.82;15.35;162.24;136.53;117.06;136.53;21.9;117.06;164.82;6.69;164.82;20.73;162.24;162.24;22.04;12.75;164.82;18.83;162.24;22.04;164.82;63.2;164.82;12.27;101.2;145.42;145.42;162.24;136.53;21.4;136.53;162.24;164.82;162.24;136.53;136.53;20.9;136.53;15.4;145.42;15.9;117.06;145.42;145.42;170.44;20.73;15.42;19.3;162.24;117.06;145.42;164.82;164.82;162.24;162.24;164.82;145.42;117.06;162.24;133.8;162.24;117.06;162.24;15.5;154.3;164.82;164.82;16.5;12.75;17.2;117.06;22.04;12.75;22.04;22.04;162.24;164.82;162.24;22.04;164.82;164.82;145.42;154.3;162.24;162.24;164.82;162.24;20.73;164.82;162.24;164.82;101.2;145.42;164.82;164.82;162.24;164.82;164.82;136.53;14.5;20.73;162.24;162.24;162.24;145.42;117.06;136.53;136.53;164.82;162.24;145.42;145.42;14.3;101.2;136.53;9.71;162.24;136.53;145.42;164.82;22.04;20.7;133.8;164.82;117.06;162.24;164.82;170.44;22.04;136.53;18.5;18.9;164.82;22.04;164.82;170.44;164.82;170.44;136.53;117.06;164.82;164.82;145.42;164.82;136.53;164.82;162.24;164.82;117.06;162.24;22.04;162.24;162.24;136.53;164.82;22.04;164.82;81.7;136.53;133.8;162.24;136.53;164.82;162.24;162.24;162.24;164.82;162.24;117.06;164.82;145.42;164.82;164.82
16;12.75;121.88;150.08;169.41;169.41;22.04;22.04;169.41;140.72;169.41;13;150.08;169.41;22.04;22.04;169.41;169.41;12.75;169.41;22.04;150.08;169.41;169.41;169.41;169.41;169.41;140.72;140.72;169.41;169.41;169.41;22.04;140.72;105.6;169.41;150.08;169.41;15.5;169.41;169.41;140.72;169.41;150.08;140.72;140.72;182.39;169.41;20.73;13.75;11.85;169.41;15.35;169.41;140.72;121.88;140.72;21.9;121.88;169.41;6.69;169.41;20.73;169.41;169.41;22.04;12.75;169.41;18.83;169.41;22.04;169.41;64.25;169.41;12.27;105.6;150.08;150.08;169.41;140.72;21.4;140.72;169.41;169.41;169.41;140.72;140.72;20.9;140.72;15.4;150.08;15.9;121.88;150.08;150.08;182.39;20.73;15.42;19.3;169.41;121.88;150.08;169.41;169.41;169.41;169.41;169.41;150.08;121.88;169.41;140;169.41;121.88;169.41;15.5;161.6;169.41;169.41;16.5;12.75;17.2;121.88;22.04;12.75;22.04;22.04;173.62;169.41;169.41;22.04;169.41;169.41;150.08;161.6;169.41;169.41;169.41;169.41;20.73;169.41;169.41;169.41;105.6;150.08;169.41;169.41;169.41;169.41;169.41;140.72;14.5;20.73;169.41;173.62;173.62;150.08;121.88;140.72;140.72;169.41;169.41;150.08;150.08;14.3;105.6;140.72;9.9;169.41;140.72;150.08;169.41;22.04;20.7;140;169.41;121.88;169.41;169.41;182.39;22.04;140.72;18.5;18.9;169.41;22.04;169.41;182.39;169.41;182.39;140.72;121.88;169.41;169.41;150.08;169.41;140.72;169.41;169.41;169.41;121.88;169.41;22.04;169.41;169.41;140.72;169.41;22.04;169.41;84.8;140.72;140;169.41;140.72;169.41;169.41;169.41;169.41;169.41;169.41;121.88;169.41;150.08;169.41;169.41
17;12.75;126.7;154.74;174;174;22.04;22.04;174;144.89;174;13;154.74;174;22.04;22.04;174;174;12.75;174;22.04;154.74;174;174;174;174;174;144.89;144.89;174;174;174;22.04;144.89;110;174;154.74;174;15.5;174;174;144.89;174;154.74;144.89;144.89;188.18;174;20.73;13.75;11.85;174;15.35;174;144.89;126.7;144.89;21.9;126.7;174;6.69;174;20.73;174;174;22.04;12.75;174;18.83;174;22.04;174;65.3;174;12.27;110;154.74;154.74;174;144.89;21.4;144.89;174;174;174;144.89;144.89;20.9;144.89;15.4;154.74;15.9;126.7;154.74;154.74;194.34;20.73;15.42;19.3;174;126.7;154.74;174;174;174;174;174;154.74;126.7;174;146.2;174;126.7;174;15.5;168.9;174;174;16.5;12.75;17.2;126.7;22.04;12.75;22.04;22.04;185.01;174;174;22.04;174;174;154.74;168.9;174;174;174;174;20.73;174;174;174;110;154.74;174;174;174;174;174;144.89;14.5;20.73;174;185.01;185.01;154.74;126.7;144.89;144.89;174;174;154.74;154.74;14.3;110;144.89;9.9;174;144.89;154.74;174;22.04;20.7;146.2;174;126.7;174;174;194.34;22.04;144.89;18.5;18.9;174;22.04;174;194.34;174;194.34;144.89;126.7;174;174;154.74;174;144.89;174;174;174;126.7;174;22.04;174;174;144.89;174;22.04;174;87.9;144.89;146.2;174;144.89;174;174;174;174;174;174;126.7;174;154.74;174;174
18;12.75;131.52;159.4;178.63;178.63;22.04;22.04;178.63;149.06;178.63;13;159.4;178.63;22.04;22.04;178.63;178.63;12.75;178.63;22.04;159.4;178.63;178.63;178.63;178.63;178.63;149.06;149.06;178.63;178.63;178.63;22.04;149.06;114.4;178.63;159.4;178.63;15.5;178.63;178.63;149.06;178.63;159.4;149.06;149.06;188.18;178.63;20.73;13.75;11.85;178.63;15.35;178.63;149.06;131.52;149.06;21.9;131.52;178.63;6.69;178.63;20.73;178.63;178.63;22.04;12.75;178.63;18.83;178.63;22.04;178.63;66.33;178.63;12.27;114.4;159.4;159.4;178.63;149.06;21.4;149.06;178.63;178.63;178.63;149.06;149.06;20.9;149.06;15.4;159.4;15.9;131.52;159.4;159.4;206.28;20.73;15.42;19.3;178.63;131.52;159.4;178.63;178.63;178.63;178.63;178.63;159.4;131.52;178.63;152.4;178.63;131.52;178.63;15.5;176.2;178.63;178.63;16.5;12.75;17.2;131.52;22.04;12.75;22.04;22.04;196.39;178.63;178.63;22.04;178.63;178.63;159.4;176.2;178.63;178.63;178.63;178.63;20.73;178.63;178.63;178.63;114.4;159.4;178.63;178.63;178.63;178.63;178.63;149.06;14.5;20.73;178.63;188.18;196.39;159.4;131.52;149.06;149.06;178.63;178.63;159.4;159.4;14.3;114.4;149.06;9.9;178.63;149.06;159.4;178.63;22.04;20.7;152.4;178.63;131.52;178.63;178.63;206.28;22.04;149.06;18.5;18.9;178.63;22.04;178.63;206.28;178.63;206.28;149.06;131.52;178.63;178.63;159.4;178.63;149.06;178.63;178.63;178.63;131.52;178.63;22.04;178.63;178.63;149.06;178.63;22.04;178.63;91;149.06;152.4;178.63;149.06;178.63;178.63;178.63;178.63;178.63;178.63;131.52;178.63;159.4;178.63;178.63
19;12.75;136.34;164.05;183.21;183.21;22.04;22.04;183.21;153.26;183.21;13;164.05;183.21;22.04;22.04;183.21;183.21;12.75;183.21;22.04;164.05;183.21;183.21;183.21;183.21;183.21;153.26;153.26;183.21;183.21;183.21;22.04;153.26;118.8;183.21;164.05;183.21;15.5;183.21;183.21;153.26;183.21;164.05;153.26;153.26;188.18;183.21;20.73;13.75;11.85;183.21;15.35;183.21;153.26;136.34;153.26;21.9;136.34;183.21;6.69;183.21;20.73;183.21;183.21;22.04;12.75;183.21;18.83;183.21;22.04;183.21;67.41;183.21;12.27;118.8;164.05;164.05;183.21;153.26;21.4;153.26;183.21;183.21;183.21;153.26;153.26;20.9;153.26;15.4;164.05;15.9;136.34;164.05;164.05;210.22;20.73;15.42;19.3;183.21;136.34;164.05;183.21;183.21;183.21;183.21;183.21;164.05;136.34;183.21;158.6;183.21;136.34;183.21;15.5;183.21;183.21;183.21;16.5;12.75;17.2;136.34;22.04;12.75;22.04;22.04;207.77;183.21;183.21;22.04;183.21;183.21;164.05;183.21;183.21;183.21;183.21;183.21;20.73;183.21;183.21;183.21;118.8;164.05;183.21;183.21;183.21;183.21;183.21;153.26;14.5;20.73;183.21;188.18;207.77;164.05;136.34;153.26;153.26;183.21;183.21;164.05;164.05;14.3;118.8;153.26;9.9;183.21;153.26;164.05;183.21;22.04;20.7;158.6;183.21;136.34;183.21;183.21;210.22;22.04;153.26;18.5;18.9;183.21;22.04;183.21;218.23;183.21;210.22;153.26;136.34;183.21;183.21;164.05;183.21;153.26;183.21;183.21;183.21;136.34;183.21;22.04;183.21;183.21;153.26;183.21;22.04;183.21;94.1;153.26;158.6;183.21;153.26;183.21;183.21;183.21;183.21;183.21;183.21;136.34;183.21;164.05;183.21;183.21
20;13.08;141.53;227.36;217.53;217.53;24.36;24.36;228.47;211.85;217.53;14.86;217.53;217.53;24.36;24.36;217.53;217.53;13.08;228.47;24.36;210.6;228.47;228.47;217.53;217.53;217.53;211.85;211.85;217.53;217.53;228.47;24.36;211.85;123.2;228.47;227.36;228.47;22.86;228.47;237.54;211.85;228.47;190.8;211.85;211.85;228.47;228.47;22.86;18.6;17.12;228.47;17.9;217.53;211.85;141.53;211.85;24.36;141.53;228.47;7.38;228.47;22.86;217.53;217.53;24.36;13.08;228.47;19.02;217.53;24.36;254.1;68.65;228.47;13.02;123.2;227.36;227.36;217.53;211.85;24.08;211.85;217.53;228.47;217.53;190.8;211.85;24.36;211.85;24.36;217.53;20.5;141.53;190.8;227.36;228.47;22.86;17.23;23.4;217.53;141.53;190.8;228.47;228.47;217.53;217.53;254.1;190.8;141.53;217.53;164.8;217.53;141.53;217.53;22.86;190.8;228.47;228.47;24.36;13.08;23.5;141.53;24.36;17.65;24.36;24.36;217.53;228.47;217.53;24.36;228.47;237.54;217.53;190.8;217.53;217.53;228.47;217.53;22.86;228.47;217.53;254.1;123.2;217.53;228.47;228.47;217.53;228.47;228.47;211.85;18.4;22.86;217.53;217.53;217.53;217.53;141.53;211.85;211.85;254.1;217.53;217.53;227.36;18.7;123.2;211.85;12.5;217.53;211.85;210.6;228.47;24.36;24.36;164.8;228.47;141.53;217.53;228.47;228.47;22.86;190.8;24.36;24.36;228.47;24.36;228.47;228.47;237.54;228.47;211.85;141.53;228.47;237.54;227.36;228.47;190.8;228.47;217.53;254.1;141.53;217.53;24.36;217.53;217.53;190.8;228.47;24.36;228.47;97.2;211.85;164.8;217.53;211.85;237.54;217.53;217.53;217.53;254.1;217.53;141.53;228.47;227.36;228.47;228.47
21;13.08;147.09;227.36;225.66;225.66;24.36;24.36;237.02;211.85;225.66;14.86;225.66;225.66;24.36;24.36;225.66;225.66;13.08;237.02;24.36;218.8;237.02;237.02;225.66;225.66;225.66;211.85;211.85;225.66;225.66;237.02;24.36;211.85;127.6;237.02;227.36;237.02;22.86;237.02;237.54;211.85;237.02;198.1;211.85;211.85;237.02;237.02;22.86;18.6;17.12;237.02;17.9;225.66;211.85;147.09;211.85;24.36;147.09;237.02;7.38;237.02;22.86;225.66;225.66;24.36;13.08;237.02;19.02;225.66;24.36;254.1;69.59;237.02;13.02;127.6;227.36;227.36;225.66;211.85;24.08;211.85;225.66;237.02;225.66;198.1;211.85;24.36;211.85;24.36;225.66;20.5;147.09;198.1;227.36;237.02;22.86;17.23;23.4;225.66;147.09;198.1;237.02;237.02;225.66;225.66;254.1;198.1;147.09;225.66;171;225.66;147.09;225.66;22.86;198.1;237.02;237.02;24.36;13.08;23.5;147.09;24.36;17.65;24.36;24.36;225.66;237.02;225.66;24.36;237.02;237.54;225.66;198.1;225.66;225.66;237.02;225.66;22.86;237.02;225.66;254.1;127.6;225.66;237.02;237.02;225.66;237.02;237.02;211.85;18.4;22.86;225.66;225.66;225.66;225.66;147.09;211.85;211.85;254.1;225.66;225.66;227.36;18.7;127.6;211.85;12.5;225.66;211.85;218.8;237.02;24.36;24.36;171;237.02;147.09;225.66;237.02;237.02;22.86;198.1;24.36;24.36;237.02;24.36;237.02;237.02;237.54;237.02;211.85;147.09;237.02;237.54;227.36;237.02;198.1;237.02;225.66;254.1;147.09;225.66;24.36;225.66;225.66;198.1;237.02;24.36;237.02;100.3;211.85;171;225.66;211.85;237.54;225.66;225.66;225.66;254.1;225.66;147.09;237.02;227.36;237.02;237.02
22;13.08;152.64;235.99;233.79;233.79;24.36;24.36;245.56;219.37;233.79;14.86;233.79;233.79;24.36;24.36;233.79;233.79;13.08;245.56;24.36;227;245.56;245.56;233.79;233.79;233.79;219.37;219.37;233.79;233.79;245.56;24.36;219.37;132;245.56;235.99;245.56;22.86;245.56;237.54;219.37;245.56;205.4;219.37;219.37;237.54;245.56;22.86;18.6;17.12;245.56;17.9;233.79;219.37;152.64;219.37;24.36;152.64;245.56;7.38;245.56;22.86;233.79;233.79;24.36;13.08;245.56;19.02;233.79;24.36;263.71;70.53;245.56;13.02;132;235.99;235.99;233.79;219.37;24.08;219.37;233.79;245.56;233.79;205.4;219.37;24.36;219.37;24.36;233.79;20.5;152.64;205.4;235.99;245.56;22.86;17.23;23.4;233.79;152.64;205.4;245.56;245.56;233.79;233.79;263.71;205.4;152.64;233.79;177.2;233.79;152.64;233.79;22.86;205.4;245.56;245.56;24.36;13.08;23.5;152.64;24.36;17.65;24.36;24.36;233.79;245.56;233.79;24.36;245.56;237.54;233.79;205.4;233.79;233.79;245.56;233.79;22.86;245.56;233.79;263.71;132;233.79;245.56;245.56;233.79;245.56;245.56;219.37;18.4;22.86;233.79;233.79;233.79;233.79;152.64;219.37;219.37;263.71;233.79;233.79;235.99;18.7;132;219.37;12.5;233.79;219.37;227;245.56;24.36;24.36;177.2;245.56;152.64;233.79;245.56;245.56;22.86;205.4;24.36;24.36;245.56;24.36;245.56;245.56;237.54;245.56;219.37;152.64;245.56;237.54;235.99;245.56;205.4;237.54;233.79;263.71;152.64;233.79;24.36;233.79;233.79;205.4;245.56;24.36;245.56;103.4;219.37;177.2;233.79;219.37;237.54;233.79;233.79;233.79;263.71;233.79;152.64;245.56;235.99;245.56;245.56
23;13.08;158.2;235.99;237.54;237.54;24.36;24.36;254.11;219.37;241.93;14.86;235.99;237.54;24.36;24.36;237.54;237.54;13.08;254.11;24.36;235.2;254.11;254.11;241.93;237.54;237.54;219.37;219.37;237.54;241.93;254.11;24.36;219.37;136.4;254.11;235.99;254.11;22.86;254.11;237.54;219.37;254.11;212.7;219.37;219.37;237.54;254.11;22.86;18.6;17.12;254.11;17.9;237.54;219.37;158.2;219.37;24.36;158.2;254.11;7.38;254.11;22.86;241.93;241.93;24.36;13.08;254.11;19.02;237.54;24.36;263.71;71.46;254.11;13.02;136.4;235.99;235.99;237.54;219.37;24.08;219.37;237.54;254.11;241.93;212.7;219.37;24.36;219.37;24.36;235.99;20.5;158.2;212.7;235.99;254.11;22.86;17.23;23.4;237.54;158.2;212.7;254.11;254.11;241.93;241.93;263.71;212.7;158.2;237.54;183.4;241.93;158.2;241.93;22.86;212.7;254.11;254.11;24.36;13.08;23.5;158.2;24.36;17.65;24.36;24.36;241.93;254.11;241.93;24.36;254.11;237.54;235.99;212.7;241.93;237.54;254.11;237.54;22.86;254.11;241.93;263.71;136.4;235.99;254.11;254.11;237.54;254.11;254.11;219.37;18.4;22.86;241.93;237.54;241.93;235.99;158.2;219.37;219.37;263.71;241.93;235.99;235.99;18.7;136.4;219.37;12.5;241.93;219.37;235.2;254.11;24.36;24.36;183.4;254.11;158.2;237.54;254.11;254.11;22.86;212.7;24.36;24.36;254.11;24.36;254.11;254.11;237.54;254.11;219.37;158.2;254.11;237.54;235.99;254.11;212.7;237.54;241.93;263.71;158.2;241.93;24.36;237.54;241.93;212.7;254.11;24.36;254.11;106.5;219.37;183.4;241.93;219.37;237.54;237.54;237.54;241.93;263.71;241.93;158.2;254.11;235.99;254.11;254.11
